"Ordem","Material","Texto breve material","Centro","Motivo do movimento","Centro custo","Qtd.  UM registro","Montante em MI","Depósito","Tipo de movimento","Estoque especial","Doc.material","Item doc.material","Data de lançamento","UM registro","Pedido","Texto cab.documento","Hora do registro","Lote","Referência","Txt.tipo movimento","Quantidade","Nome do usuário","Fornecedor",
"","31_000006000","INSERTO DNMG 150604-LP MC6015","3110","0","3100122","-5","-143.55","1070","201","","4920377885","2","2025-07-20","PC","","","23:57:22","","","SM para centro custo","-5","310004188","",
"","31_000027158","INSERTO CNMG 120412-RK MC5005","3110","0","3100122","-11","-200.09","1070","201","","4920377885","1","2025-07-20","PC","","","23:57:22","","","SM para centro custo","-11","310004188","",
"","31_000028728","INSERTO WNMA 080412 AC4015K SUMITOMO","3110","0","3100122","-7","-148.40","1070","201","","4920377885","3","2025-07-20","PC","","","23:57:22","","","SM para centro custo","-7","310004188","",
"","31_000000227","CALÇO P/PORTA FERR. 5322.270-01","3110","0","3100133","-1","-19.93","1070","201","","4920685029","10","2025-07-25","PC","","","23:56:18","","","SM para centro custo","-1","310004188","",
"","31_000000375","PARAFUSO 5513.020.01","3110","0","3100133","-5","-39.95","1070","201","","4920685029","8","2025-07-25","PC","","","23:56:18","","","SM para centro custo","-5","310004188","",
"","31_000001948","CHAVE TORX T-15 5680.049-01","3110","0","3100133","-1","-16.79","1070","201","","4920685029","9","2025-07-25","PC","","","23:56:18","","","SM para centro custo","-1","310004188","",
"","31_000008767","INSERTO WNMG 06T308 MP MC6015","3110","0","3100133","-6","-64.74","1070","201","","4920685029","4","2025-07-25","PC","","","23:56:18","","","SM para centro custo","-6","310004188","",
"","31_000012246","INSERTO GRIP 5025Y IC908  ISCAR","3110","0","3100133","-4","-216.76","1070","201","","4920685029","3","2025-07-25","PC","","","23:56:18","","","SM para centro custo","-4","310004188","",
"","31_000022901","INSERTO TNMG 160412-SA UE6105","3110","0","3100133","-2","-29.06","1070","201","","4920685029","5","2025-07-25","PC","","","23:56:18","","","SM para centro custo","-2","310004188","",
"","31_000023009","INSERTO VBMT 160404-UE 6110","3110","0","3100133","-4","-92.84","1070","201","","4920685029","2","2025-07-25","PC","","","23:56:18","","","SM para centro custo","-4","310004188","",
"","31_000023789","INSERTO GY2M0400G080N-MM VP20RT","3110","0","3100133","-2","-73.44","1070","201","","4920685029","1","2025-07-25","PC","","","23:56:18","","","SM para centro custo","-2","310004188","",
"","31_000009799","INSERTO TNMG 160412-GH UC5115","3110","0","3100125","-10","-138.00","1070","201","","4919888075","1","2025-07-11","PC","","","23:53:55","","","SM para centro custo","-10","310004188","",
"","31_000006000","INSERTO DNMG 150604-LP MC6015","3110","0","3100133","-3","-86.13","1070","201","","4920745046","1","2025-07-26","PC","","","23:52:27","","","SM para centro custo","-3","310004188","",
"","31_000008767","INSERTO WNMG 06T308 MP MC6015","3110","0","3100133","-3","-32.37","1070","201","","4920745046","4","2025-07-26","PC","","","23:52:27","","","SM para centro custo","-3","310004188","",
"","31_000025402","INSERTO TNMG 160408 MP MC6015","3110","0","3100133","-5","-72.95","1070","201","","4920745046","2","2025-07-26","PC","","","23:52:27","","","SM para centro custo","-5","310004188","",
