"Ordem","Material","Texto breve material","Centro","Motivo do movimento","Centro custo","Qtd.  UM registro","Montante em MI","Depósito","Tipo de movimento","Estoque especial","Doc.material","Item doc.material","Data de lançamento","UM registro","Pedido","Texto cab.documento","Hora do registro","Lote","Referência","Txt.tipo movimento","Quantidade","Nome do usuário","Fornecedor",
"","31_000028281","LOGOTIPO 008013/2019 INMETRO 2H37/73310","3110","0","3100172","-1","-334.22","1070","201","","4923004823","1","2025-09-04","PC","","","23:52:07","","","SM para centro custo","-1","310001144","",
"","31_000024583","BROCA CALIB MD D4,1xD4,20x62 88424001-T5","3110","0","3100126","-1","-126.61","1070","201","","4922930487","1","2025-09-03","PC","","","23:49:29","","","SM para centro custo","-1","310001144","",
"","31_000013245","INSERTO TNMG 160408 SA UE6105","3110","0","3100133","-7","-101.99","1070","201","","4923003743","2","2025-09-04","PC","","","23:19:17","","","SM para centro custo","-7","310001144","",
"","31_000022901","INSERTO TNMG 160412-SA UE6105","3110","0","3100133","-2","-29.06","1070","201","","4923003743","1","2025-09-04","PC","","","23:19:17","","","SM para centro custo","-2","310001144","",
"","31_000009799","INSERTO TNMG 160412-GH UC5115","3110","0","3100125","-2","-27.60","1070","201","","4922854121","2","2025-09-02","PC","","","23:05:06","","","SM para centro custo","-2","310001144","",
"","31_000026158","INSERTO CCMT 060204 WP PV720","3110","0","3100125","-2","-33.84","1070","201","","4922854121","3","2025-09-02","PC","","","23:05:06","","","SM para centro custo","-2","310001144","",
"","31_000028905","INSERTO CCMT09T308N SU AC8025P","3110","0","3100125","-2","-34.68","1070","201","","4922854121","1","2025-09-02","PC","","","23:05:06","","","SM para centro custo","-2","310001144","",
"","31_000013246","INSERTO TNMG 160408 MA UE6020","3110","0","3100131","-3","-46.56","1070","201","","4922780349","1","2025-09-01","PC","","","22:57:16","","","SM para centro custo","-3","310001144","",
"","31_000028142","INSERTO CCMT 09T304-LS MP 9015","3110","0","3100131","-5","-60.40","1070","201","","4922780349","3","2025-09-01","PC","","","22:57:16","","","SM para centro custo","-5","310001144","",
"","31_000028905","INSERTO CCMT09T308N SU AC8025P","3110","0","3100131","-5","-86.70","1070","201","","4922780349","2","2025-09-01","PC","","","22:57:16","","","SM para centro custo","-5","310001144","",
