Codigo,Descrição,Data,Quantidade,Valor,Setor
31_000018941,PORTA FERR. MD C10K SCLCR 06,2025-01-02 19:34:48,1.0,990.51,129
31_000005305,INSERTO VCMT 160408-SM IC907 - ISCAR,2025-01-02 20:14:05,5.0,179.4,173
31_000027591,INSERTO TNMG 160412 RS MP9015,2025-01-02 20:14:05,7.0,103.32,173
31_000012811,INSERTO TNMG 160408- TF IC908,2025-01-02 20:14:05,7.0,162.82,173
31_000022920,INSERTO CCMT 09T308 MM MC7025,2025-01-02 20:25:34,8.0,96.4,172
31_000028163,INSERTO VNMG 160408 MP MC6025,2025-01-02 20:25:34,2.0,48.3,172
31_000023720,INSERTO GY2M0400G040N-MM VP20RT,2025-01-02 20:43:16,6.0,217.14,131
31_000028905,INSERTO CCMT09T308N SU AC8025P,2025-01-02 20:43:16,2.0,34.78,131
31_000012717,INSERTO TCMT 110204-SM IC908,2025-01-02 22:48:07,8.0,163.2,126
31_000023054,INSERTO CCMT 09T304-MM MC7025,2025-01-02 22:48:07,5.0,59.8,126
31_000028671,INSERTO TNMG 160412 SA MC6115,2025-01-02 22:48:07,3.0,49.86,126
31_000012419,LIMA ROTATIVA  SKM 0613 3S Z3P,2025-01-03 01:18:07,3.0,283.44,129
31_000026158,INSERTO CCMT 060204 WP PV720,2025-01-03 01:18:07,5.0,81.45,129
31_000028555,INSERTO TNMG 160412 UR YG3020 (YG1),2025-01-03 01:18:07,8.0,224.64,129
31_000008767,INSERTO WNMG 06T308 MP MC6015,2025-01-03 01:18:07,6.0,64.8,129
31_000012247,INSERTO CCMT 060208  UE6110,2025-01-03 01:18:07,2.0,19.86,129
31_000025808,INSERTO WNMG 06T304-MS US7020,2025-01-03 01:18:07,5.0,52.35,129
31_000027764,INSERTO GIMIY 304  IC808,2025-01-03 01:45:03,2.0,80.64,155
31_000022920,INSERTO CCMT 09T308 MM MC7025,2025-01-03 01:45:03,1.0,12.05,155
31_000010759,INSERTO VNMG 12T308-NF IC907,2025-01-03 01:45:03,6.0,209.76,155
31_000003045,INSERTO TNMG 160404-SA UE 6105,2025-01-03 01:45:03,1.0,15.44,155
31_000013245,INSERTO TNMG 160408 SA UE6105,2025-01-03 01:45:03,3.0,43.38,155
31_000015192,PARAFUSO TS25   ( MITSUBISHI ),2025-01-03 02:26:32,3.0,45.6,127
31_000028831,INSERTO WXGU040308L-HP-BXA20,2025-01-03 02:26:32,2.0,1239.72,127
31_000022901,INSERTO TNMG 160412-SA UE6105,2025-01-03 02:36:37,4.0,58.0,133
31_000013245,INSERTO TNMG 160408 SA UE6105,2025-01-03 02:36:37,4.0,57.84,133
31_000023956,"PORTA FERR. AL15 2020 W4 CANAL LARG. 4,0",2025-01-03 04:26:09,1.0,328.63,131
31_000023789,INSERTO GY2M0400G080N-MM VP20RT,2025-01-03 04:26:09,1.0,36.2,131
31_000027193,INSERTO CCMT 060202 PF IC907,2025-01-03 04:35:41,4.0,91.56,173
31_000021024,INSERTO TNGX 110308S-01020-WZ CBN010,2025-01-03 04:52:16,2.0,1134.04,173
31_000005433-R,FRESA FTE 2C 7606-8 Ø8 (5433-TRANSF.),2025-01-03 05:36:38,1.0,-0.0,474
31_000011073,DISCO CORTE 7''x1/8''x7/8'' fab. ALCAR,2025-01-03 06:36:21,5.0,40.65,655
31_000001088,"DISCO DESB.7""x1/4''x7/8'' / 178x6,4x22,2",2025-01-03 06:36:21,1.0,14.08,655
31_000011073,DISCO CORTE 7''x1/8''x7/8'' fab. ALCAR,2025-01-03 06:46:09,10.0,81.3,444
31_000027015,INSERTO DNMG 150412-KH CA320,2025-01-03 06:46:40,4.0,93.24,148
31_000024806,INSERTO DCMT 11T308-HQ PV 720,2025-01-03 06:46:40,2.0,51.82,148
31_000004381,INSERTO VCMW 160408 HTI10,2025-01-03 06:56:35,5.0,79.3,474
31_000001959,INSERTO TNGA 160408-HTI 05T,2025-01-03 06:56:35,20.0,370.0,474
31_000028555,INSERTO TNMG 160412 UR YG3020 (YG1),2025-01-03 07:09:11,2.0,56.16,129
31_000026158,INSERTO CCMT 060204 WP PV720,2025-01-03 07:09:11,2.0,32.58,129
31_000001095,LIXA P/FERRO  80,2025-01-03 08:18:30,10.0,33.9,450
31_000001094,LIXA P/FERRO  60,2025-01-03 08:18:30,10.0,29.3,450
31_000028234,INSERTO SNMG 120408-SA UE6105,2025-01-03 08:48:25,3.0,52.29,126
31_000008769,INSERTO VNMG 12T304-NF IC907,2025-01-03 08:48:25,4.0,148.56,126
31_000024231,INSERTO TCMT 110204-FV AP25N,2025-01-03 08:48:25,1.0,11.99,126
31_000013246,INSERTO TNMG 160408 MA UE6020,2025-01-03 08:48:25,1.0,15.48,126
